date,author,text
2026-04-25,Happy Hookers,"Welcome to the new Happy Hookers site! Bookmark it on your phone."
2026-04-25,Keith,"Unfortunately, due to some kinky scoring. Winners were not the winners but never mind, prize giving is over and the sun will still come up tomorrow. Individual winner was, believe it or not, Dixie on a count out from Mike and Coenie. 👏👏👏 Cheers all"

